transaction_id,transaction_date,merchant_id,merchant_name,merchant_category,account_manager,raw_amount,currency,amount_usd,gateway_region,status,risk_score,user_id,payment_method,high_value_flag,high_risk_flag
T001,2026-03-01,M001,Alpha Mart,Grocery,Aisha Khan,420000,INR,4998.0,APAC,captured,62.0,U001,UPI,0,0
T002,2026-03-01,M001,Alpha Mart,Grocery,Aisha Khan,210000,INR,2499.0,APAC,captured,55.0,U002,Card,0,0
T003,2026-03-01,M002,Beta Stores,Electronics,Rohan Mehta,510000,INR,6069.0,APAC,captured,71.0,U003,NetBanking,1,1
T004,2026-03-02,M002,Beta Stores,Electronics,Rohan Mehta,160000,INR,1920.0,APAC,failed,68.0,U004,Card,0,0
T005,2026-03-02,M001,Alpha Mart,Grocery,Aisha Khan,390000,INR,4680.0,APAC,captured,58.0,U001,UPI,0,0
T006,2026-03-02,M002,Beta Stores,Electronics,Rohan Mehta,275000,INR,3300.0,APAC,captured,64.0,U005,Wallet,0,0
T007,2026-03-02,M001,Alpha Mart,Grocery,Aisha Khan,450000,INR,5400.0,APAC,chargeback,83.0,U006,Card,1,1
T008,2026-03-03,M002,Beta Stores,Electronics,Rohan Mehta,340000,INR,4114.0,APAC,captured,59.0,U007,UPI,0,0
T009,2026-03-03,M001,Alpha Mart,Grocery,Aisha Khan,125000,INR,1512.5,APAC,captured,46.0,U002,Wallet,0,0
T010,2026-03-03,M002,Beta Stores,Electronics,Rohan Mehta,610000,INR,7381.0,APAC,captured,77.0,U003,Card,1,1
T011,2026-03-03,M001,Alpha Mart,Grocery,Aisha Khan,195000,INR,2359.5,APAC,failed,61.0,U008,UPI,0,0
T012,2026-03-04,M002,Beta Stores,Electronics,Rohan Mehta,250000,INR,3000.0,APAC,captured,61.0,U009,Card,0,0
T013,2026-03-04,M001,Alpha Mart,Grocery,Aisha Khan,310000,INR,3720.0,APAC,captured,54.0,U010,UPI,0,0
T014,2026-03-04,M002,Beta Stores,Electronics,Rohan Mehta,470000,INR,5640.0,APAC,captured,73.0,U001,NetBanking,1,1
T015,2026-03-04,M001,Alpha Mart,Grocery,Aisha Khan,130000,INR,1560.0,APAC,captured,52.0,U002,Card,0,0
T016,2026-03-05,M002,Beta Stores,Electronics,Rohan Mehta,220000,INR,2596.0,APAC,failed,69.0,U008,Card,0,0
T017,2026-03-05,M002,Beta Stores,Electronics,Rohan Mehta,180000,INR,2124.0,APAC,failed,72.0,U008,Card,0,1
T018,2026-03-05,M002,Beta Stores,Electronics,Rohan Mehta,145000,INR,1711.0,APAC,chargeback,86.0,U008,UPI,0,1
T019,2026-03-05,M001,Alpha Mart,Grocery,Aisha Khan,260000,INR,3068.0,APAC,failed,67.0,U008,Wallet,0,0
T020,2026-03-05,M001,Alpha Mart,Grocery,Aisha Khan,520000,INR,6136.0,APAC,captured,75.0,U005,UPI,1,1
T021,2026-03-06,M002,Beta Stores,Electronics,Rohan Mehta,330000,INR,3927.0,APAC,captured,63.0,U006,Card,0,0
T022,2026-03-06,M001,Alpha Mart,Grocery,Aisha Khan,410000,INR,4879.0,APAC,captured,60.0,U007,UPI,0,0
T023,2026-03-01,M003,City Pharma,Healthcare,Elena Rossi,5200,EUR,5616.0,EU,captured,42.0,U003,Card,0,0
T024,2026-03-02,M005,Eco Home,Home,Nina Weber,6100,EUR,6649.0,EU,chargeback,65.0,U004,Card,1,1
T025,2026-03-03,M003,City Pharma,Healthcare,Elena Rossi,2800,EUR,3024.0,EU,captured,38.0,U005,Wallet,0,0
T026,2026-03-05,M005,Eco Home,Home,Nina Weber,3300,EUR,3597.0,EU,failed,44.0,U006,NetBanking,0,0
T027,2026-03-01,M004,Delta Travels,Travel,Marcus Lee,7200,USD,7200.0,US,captured,49.0,U007,Card,1,0
T028,2026-03-02,M004,Delta Travels,Travel,Marcus Lee,3100,USD,3100.0,US,captured,41.0,U008,Card,0,0
T029,2026-03-04,M004,Delta Travels,Travel,Marcus Lee,2500,USD,2500.0,US,chargeback,58.0,U009,Wallet,0,1
T030,2026-03-06,M004,Delta Travels,Travel,Marcus Lee,1800,USD,1800.0,US,failed,47.0,U010,UPI,0,0
